first,second,shared_cases,first_accuracy,second_accuracy,only_first_correct,only_second_correct,p_value,significant,verdict
embedding_classifier,hypothetical_delta_top2,84,0.7380952380952381,0.19047619047619047,53,7,6.266904378148509e-09,True,embedding_classifier l'emporte (p = 0.000)
embedding_classifier,lexical_classifier,2088,0.7557471264367817,0.5038314176245211,657,131,4.736973771932271e-78,True,embedding_classifier l'emporte (p = 0.000)
embedding_classifier,nearest_neighbour,2088,0.7557471264367817,0.7490421455938697,223,209,0.5316673617377637,False,difference non etablie entre embedding_classifier et nearest_neighbour (p = 0.532)
embedding_classifier,needle_full,84,0.7380952380952381,0.11904761904761904,53,1,3.914871904566486e-12,True,embedding_classifier l'emporte (p = 0.000)
embedding_classifier,rules,2088,0.7557471264367817,0.6235632183908046,662,386,1.9831095872432352e-17,True,embedding_classifier l'emporte (p = 0.000)
embedding_only,functiongemma_zero_shot,84,0.6428571428571429,0.0,54,0,5.497966755051719e-13,True,embedding_only l'emporte (p = 0.000)
embedding_only,hybrid_adaptive,84,0.6428571428571429,0.19047619047619047,49,11,1.7821350895068986e-06,True,embedding_only l'emporte (p = 0.000)
embedding_only,hybrid_functiongemma_top2,84,0.6428571428571429,0.19047619047619047,48,10,1.1837519618559362e-06,True,embedding_only l'emporte (p = 0.000)
embedding_only,hybrid_needle_top2,84,0.6428571428571429,0.20238095238095238,49,12,4.0397320623600145e-06,True,embedding_only l'emporte (p = 0.000)
embedding_only,hypothetical_delta_top2,84,0.6428571428571429,0.19047619047619047,49,11,1.7821350895068986e-06,True,embedding_only l'emporte (p = 0.000)
embedding_only,lexical_classifier,2088,0.6810344827586207,0.5038314176245211,530,160,7.97005028797165e-45,True,embedding_only l'emporte (p = 0.000)
embedding_only,nearest_neighbour,2088,0.6810344827586207,0.7490421455938697,52,194,2.4760940652565837e-19,True,nearest_neighbour l'emporte (p = 0.000)
embedding_only,needle_full,84,0.6428571428571429,0.11904761904761904,51,7,1.6405531550029898e-08,True,embedding_only l'emporte (p = 0.000)
embedding_only,rules,2088,0.6810344827586207,0.6235632183908046,615,495,0.00035455461778345165,True,embedding_only l'emporte (p = 0.000)
functiongemma_zero_shot,hybrid_adaptive,84,0.0,0.19047619047619047,0,16,3.0517578125e-05,True,hybrid_adaptive l'emporte (p = 0.000)
functiongemma_zero_shot,hybrid_functiongemma_top2,84,0.0,0.19047619047619047,0,16,3.0517578125e-05,True,hybrid_functiongemma_top2 l'emporte (p = 0.000)
functiongemma_zero_shot,hybrid_needle_top2,84,0.0,0.20238095238095238,0,17,1.52587890625e-05,True,hybrid_needle_top2 l'emporte (p = 0.000)
functiongemma_zero_shot,hypothetical_delta_top2,84,0.0,0.19047619047619047,0,16,3.0517578125e-05,True,hypothetical_delta_top2 l'emporte (p = 0.000)
functiongemma_zero_shot,lexical_classifier,84,0.0,0.40476190476190477,0,34,1.5185595523520007e-08,True,lexical_classifier l'emporte (p = 0.000)
functiongemma_zero_shot,nearest_neighbour,84,0.0,0.7023809523809523,0,59,4.320720308160966e-14,True,nearest_neighbour l'emporte (p = 0.000)
functiongemma_zero_shot,needle_full,84,0.0,0.11904761904761904,0,10,0.001953125,True,needle_full l'emporte (p = 0.002)
functiongemma_zero_shot,rules,84,0.0,0.5714285714285714,0,48,1.1700213117066209e-11,True,rules l'emporte (p = 0.000)
hybrid_adaptive,hybrid_functiongemma_top2,84,0.19047619047619047,0.19047619047619047,6,6,1.0,False,difference non etablie entre hybrid_adaptive et hybrid_functiongemma_top2 (p = 1.000)
hybrid_adaptive,hybrid_needle_top2,84,0.19047619047619047,0.20238095238095238,2,3,1.0,False,difference non etablie entre hybrid_adaptive et hybrid_needle_top2 (p = 1.000)
hybrid_adaptive,hypothetical_delta_top2,84,0.19047619047619047,0.19047619047619047,3,3,1.0,False,difference non etablie entre hybrid_adaptive et hypothetical_delta_top2 (p = 1.000)
hybrid_adaptive,lexical_classifier,84,0.19047619047619047,0.40476190476190477,10,28,0.005819816954009862,True,lexical_classifier l'emporte (p = 0.006)
hybrid_adaptive,nearest_neighbour,84,0.19047619047619047,0.7023809523809523,7,50,2.651213223521184e-08,True,nearest_neighbour l'emporte (p = 0.000)
hybrid_adaptive,needle_full,84,0.19047619047619047,0.11904761904761904,7,1,0.0703125,False,difference non etablie entre hybrid_adaptive et needle_full (p = 0.070)
hybrid_adaptive,rules,84,0.19047619047619047,0.5714285714285714,9,41,1.1648657367199589e-05,True,rules l'emporte (p = 0.000)
hybrid_functiongemma_top2,hybrid_needle_top2,84,0.19047619047619047,0.20238095238095238,5,6,1.0,False,difference non etablie entre hybrid_functiongemma_top2 et hybrid_needle_top2 (p = 1.000)
hybrid_functiongemma_top2,hypothetical_delta_top2,84,0.19047619047619047,0.19047619047619047,6,6,1.0,False,difference non etablie entre hybrid_functiongemma_top2 et hypothetical_delta_top2 (p = 1.000)
hybrid_functiongemma_top2,lexical_classifier,84,0.19047619047619047,0.40476190476190477,9,27,0.004606532263391774,True,lexical_classifier l'emporte (p = 0.005)
hybrid_functiongemma_top2,nearest_neighbour,84,0.19047619047619047,0.7023809523809523,5,48,7.967535000314077e-09,True,nearest_neighbour l'emporte (p = 0.000)
hybrid_functiongemma_top2,needle_full,84,0.19047619047619047,0.11904761904761904,6,0,0.03125,True,hybrid_functiongemma_top2 l'emporte (p = 0.031)
hybrid_functiongemma_top2,rules,84,0.19047619047619047,0.5714285714285714,9,41,1.1648657367199589e-05,True,rules l'emporte (p = 0.000)
hybrid_needle_top2,hypothetical_delta_top2,84,0.20238095238095238,0.19047619047619047,1,0,1.0,False,difference non etablie entre hybrid_needle_top2 et hypothetical_delta_top2 (p = 1.000)
hybrid_needle_top2,lexical_classifier,84,0.20238095238095238,0.40476190476190477,12,29,0.01246215829454032,True,lexical_classifier l'emporte (p = 0.012)
hybrid_needle_top2,nearest_neighbour,84,0.20238095238095238,0.7023809523809523,8,50,7.302536839228902e-08,True,nearest_neighbour l'emporte (p = 0.000)
hybrid_needle_top2,needle_full,84,0.20238095238095238,0.11904761904761904,7,0,0.015625,True,hybrid_needle_top2 l'emporte (p = 0.016)
hybrid_needle_top2,rules,84,0.20238095238095238,0.5714285714285714,8,39,1.2090487054383215e-05,True,rules l'emporte (p = 0.000)
hypothetical_delta_top2,lexical_classifier,84,0.19047619047619047,0.40476190476190477,12,30,0.008711912962379598,True,lexical_classifier l'emporte (p = 0.009)
hypothetical_delta_top2,nearest_neighbour,84,0.19047619047619047,0.7023809523809523,7,50,2.651213223521184e-08,True,nearest_neighbour l'emporte (p = 0.000)
hypothetical_delta_top2,needle_full,84,0.19047619047619047,0.11904761904761904,7,1,0.0703125,False,difference non etablie entre hypothetical_delta_top2 et needle_full (p = 0.070)
hypothetical_delta_top2,rules,84,0.19047619047619047,0.5714285714285714,8,40,7.660302094057414e-06,True,rules l'emporte (p = 0.000)
lexical_classifier,nearest_neighbour,2088,0.5038314176245211,0.7490421455938697,129,641,9.929231444241906e-76,True,nearest_neighbour l'emporte (p = 0.000)
lexical_classifier,needle_full,84,0.40476190476190477,0.11904761904761904,30,6,0.00012641846373680543,True,lexical_classifier l'emporte (p = 0.000)
lexical_classifier,rules,2088,0.5038314176245211,0.6235632183908046,292,542,6.570003261674611e-18,True,rules l'emporte (p = 0.000)
nearest_neighbour,needle_full,84,0.7023809523809523,0.11904761904761904,53,4,2.0472322655497086e-10,True,nearest_neighbour l'emporte (p = 0.000)
nearest_neighbour,rules,2088,0.7490421455938697,0.6235632183908046,651,389,5.808561967293639e-16,True,nearest_neighbour l'emporte (p = 0.000)
needle_full,rules,84,0.11904761904761904,0.5714285714285714,6,44,1.6715105790914652e-07,True,rules l'emporte (p = 0.000)
